sample_id,native_h,native_w,dice,iou,pred_area,gt_area,tp,fp,fn
testA_1,224,224,0.9082701725397224,0.8319550768825813,40409,43108,37928,2481,5180
testA_2,224,224,0.8797273169939945,0.7852796290930165,13858,16947,13550,308,3397
testA_3,224,224,0.964793082149475,0.931980906921241,26543,25265,24992,1551,273
testA_4,224,224,0.9695907638387795,0.9409763905562225,9684,9718,9406,278,312
testA_5,224,224,0.9394868320772293,0.8858794595803123,29737,29308,27736,2001,1572
testA_6,224,224,0.9455746889084412,0.8967678212594938,26948,28743,26330,618,2413
testA_7,224,224,0.8277883628902243,0.706176544136034,22665,18273,16944,5721,1329
testA_8,224,224,0.9240314874016019,0.8587904539791061,29065,29117,26881,2184,2236
testA_9,224,224,0.9607503340256373,0.9244653767820774,37904,37689,36313,1591,1376
testA_10,224,224,0.8531384865188224,0.7438897168405365,21093,25713,19966,1127,5747
testA_11,224,224,0.8643514395963194,0.7611082070047046,6530,6946,5824,706,1122
testA_12,224,224,0.8557466583624779,0.7478646792832021,33220,29399,26793,6427,2606
testA_13,224,224,0.8675889844914612,0.7661431870669746,19910,18327,16587,3323,1740
testA_14,224,224,0.6628593780559359,0.49572899602153053,16617,8948,8473,8144,475
testA_15,224,224,0.7494132111322231,0.5992492626686925,21677,32005,20115,1562,11890
testA_16,224,224,0.9679757057077784,0.9379388751421119,29276,28680,28050,1226,630
testA_17,224,224,0.9429350070195722,0.89203125,30325,30220,28545,1780,1675
testA_18,224,224,0.8995112169444792,0.8173742711370262,19803,20092,17943,1860,2149
testA_19,224,224,0.9231204710144928,0.8572179581537167,26789,26203,24459,2330,1744
testA_20,224,224,0.9639953995204585,0.9304933579196929,26165,25134,24726,1439,408
testA_21,224,224,0.9027768484442957,0.822783266251982,21113,23722,20238,875,3484
testA_22,224,224,0.8366200819804409,0.7191288666944098,34639,27327,25921,8718,1406
testA_23,224,224,0.9566399491543378,0.9168838200954347,28597,28045,27093,1504,952
testA_24,224,224,0.79624066603725,0.6614616755793227,21614,24990,18554,3060,6436
testA_25,224,224,0.9295199866198361,0.8683207299543778,29436,30354,27788,1648,2566
testA_26,224,224,0.936502110478987,0.8805867126833478,10749,11047,10206,543,841
testA_27,224,224,0.9443482026851451,0.8945641025641026,27876,27540,26166,1710,1374
testA_28,224,224,0.9325591012475015,0.8736400322841,28629,29407,27061,1568,2346
testA_29,224,224,0.9036156272749333,0.8241777699083705,22268,18942,18619,3649,323
testA_30,224,224,0.960389294403893,0.9237970417524808,25805,25570,24670,1135,900
testA_31,224,224,0.9600959753206318,0.9232544086139647,17728,17281,16806,922,475
testA_32,224,224,0.8421024432061723,0.7272685206607746,20812,16516,15717,5095,799
testA_33,224,224,0.9420395092070231,0.8904297631199184,26543,27166,25298,1245,1868
testA_34,224,224,0.9621716629235426,0.9271009747469046,26178,25027,24634,1544,393
testA_35,224,224,0.9747262986256697,0.9506986254685903,34647,34041,33476,1171,565
testA_36,224,224,0.9625182125302207,0.9277446834778851,31049,31408,30058,991,1350
testA_37,224,224,0.9210902578149692,0.8537231816533214,32510,33933,30600,1910,3333
testA_38,224,224,0.860681590891607,0.7554355165428764,6900,6099,5594,1306,505
testA_39,224,224,0.9049100335468131,0.8263339645761391,8654,7741,7418,1236,323
testA_40,224,224,0.9213032960387058,0.8540892844628215,27753,25159,24374,3379,785
testA_41,224,224,0.8228449426207632,0.6990115171850911,10711,8024,7708,3003,316
testA_42,224,224,0.9621955471434975,0.927145325398349,20263,19891,19318,945,573
testA_43,224,224,0.9651878723333445,0.9327179751069372,30390,29704,29001,1389,703
