sample_id,native_h,native_w,dice,iou,pred_area,gt_area,tp,fp,fn
testA_1,224,224,0.9214348377034799,0.8543154089471305,38964,43108,37812,1152,5296
testA_2,224,224,0.8069535864978903,0.6763807152557718,12678,16947,11953,725,4994
testA_3,224,224,0.9579583665377364,0.9193091099007685,26184,25265,24643,1541,622
testA_4,224,224,0.9581423462449,0.9196480371301489,10135,9718,9511,624,207
testA_5,224,224,0.9393258426966292,0.885593220338983,28987,29308,27379,1608,1929
testA_6,224,224,0.946484298375448,0.8984054978164461,27334,28743,26538,796,2205
testA_7,224,224,0.8307323516462013,0.7104723651730053,22609,18273,16981,5628,1292
testA_8,224,224,0.941666809012179,0.8897640337002486,29426,29117,27564,1862,1553
testA_9,224,224,0.9594395777936751,0.9220411975302236,36398,37689,35541,857,2148
testA_10,224,224,0.8847182745360308,0.7932688703995203,22135,25713,21166,969,4547
testA_11,224,224,0.8858643390783342,0.7951135307396097,6573,6946,5988,585,958
testA_12,224,224,0.8757739757006722,0.7790016925168558,34718,29399,28076,6642,1323
testA_13,224,224,0.8739037027675977,0.7760470440364502,21238,18327,17288,3950,1039
testA_14,224,224,0.7548296452406041,0.6062059238363893,13828,8948,8596,5232,352
testA_15,224,224,0.7144786653223505,0.5557890375281165,20562,32005,18779,1783,13226
testA_16,224,224,0.9702249246476297,0.9421716915372382,28717,28680,27844,873,836
testA_17,224,224,0.9338341137345092,0.8758806915174276,30219,30220,28220,1999,2000
testA_18,224,224,0.8804726185223317,0.786468141011605,20702,20092,17959,2743,2133
testA_19,224,224,0.9212827988338192,0.8540540540540541,27305,26203,24648,2657,1555
testA_20,224,224,0.9463365879910818,0.8981393651951842,26894,25134,24618,2276,516
testA_21,224,224,0.9115945535733926,0.8375505254648343,21739,23722,20721,1018,3001
testA_22,224,224,0.843636244383957,0.7295595700632427,33659,27327,25725,7934,1602
testA_23,224,224,0.9603292355517875,0.9236859094152424,28571,28045,27185,1386,860
testA_24,224,224,0.8075420417869883,0.6772079772079772,22106,24990,19016,3090,5974
testA_25,224,224,0.9349149419235958,0.8777842997930119,30428,30354,28413,2015,1941
testA_26,224,224,0.9477206189878712,0.9006359300476947,10472,11047,10197,275,850
testA_27,224,224,0.9435375873176735,0.8931104183082668,27718,27540,26069,1649,1471
testA_28,224,224,0.9317804230538665,0.8722742432016418,28978,29407,27201,1777,2206
testA_29,224,224,0.9228494825728533,0.8567507211314785,20967,18942,18415,2552,527
testA_30,224,224,0.9593035823065889,0.9217900302114803,25319,25570,24409,910,1161
testA_31,224,224,0.9699546323508431,0.9416620498614958,17766,17281,16997,769,284
testA_32,224,224,0.9125653506399856,0.8391909814323607,16766,16516,15186,1580,1330
testA_33,224,224,0.9370252572497662,0.8815122500704027,26284,27166,25042,1242,2124
testA_34,224,224,0.9633688841749651,0.9293266133616279,25886,25027,24524,1362,503
testA_35,224,224,0.9738989758923026,0.9491258199836707,35190,34041,33712,1478,329
testA_36,224,224,0.9600307455803229,0.9231337767923133,31040,31408,29976,1064,1432
testA_37,224,224,0.9020426059478992,0.8215643073533462,32208,33933,29831,2377,4102
testA_38,224,224,0.8991710625470987,0.8168127053669222,7171,6099,5966,1205,133
testA_39,224,224,0.9171060698957695,0.8469029554976786,8569,7741,7479,1090,262
testA_40,224,224,0.915467965416997,0.8441133467938453,27815,25159,24248,3567,911
testA_41,224,224,0.8458703663559506,0.7329075882794891,10428,8024,7804,2624,220
testA_42,224,224,0.9713464157796499,0.9442891471727723,19755,19891,19255,500,636
testA_43,224,224,0.9641616593958351,0.9308032166809701,31041,29704,29284,1757,420
