Dataset,Variant,Lock Dice,Repro Dice,ΔDice,Lock IoU,Repro IoU,ΔIoU,Pass?
MONUSEG,a5_all_at_once,0.8392,0.8392,0.0000,0.7239,0.7239,0.0000,PASS
MONUSEG,freeze_a3_control,0.8234,0.8234,0.0000,0.7010,0.7010,0.0000,PASS
MONUSEG,a0_fpn2,0.8103,0.8103,0.0000,0.6835,0.6835,0.0000,PASS
MONUSEG,a2_fpn2_fpn1_refine,0.8423,0.8423,0.0000,0.7284,0.7284,0.0000,PASS
MONUSEG,a3_memory,0.8339,0.8346,0.0007,0.7161,0.7171,0.0010,PASS
MONUSEG,final_staged,0.8545,0.8539,0.0006,0.7467,0.7459,0.0008,PASS
GLAS,a5_all_at_once,--,0.9259,--,--,0.8656,--,N/A
GLAS,a0_fpn2,0.9374,0.9374,0.0000,0.8847,0.8847,0.0000,PASS
GLAS,a2_fpn2_fpn1_refine,0.9405,0.9405,0.0000,0.8897,0.8897,0.0000,PASS
GLAS,a3_memory,0.9243,0.9243,0.0000,0.8635,0.8635,0.0000,PASS
GLAS,a5_safe,0.9259,--,--,0.8656,--,--,N/A
