variant,human_name,seed,final_epoch_dice,final_epoch_iou,best_test_dice,best_test_iou,best_test_epoch,gap_oracle_minus_final,checkpoint_path,checkpoint_sha256,wandb_url,status
v1_progressive,progressive_A2_to_A3M4_to_F0_aug80,0,0.82263,0.6996,0.82276,0.69979,70,0.00013,/storage/nada/test_screen_80/v1_progressive/s0/checkpoint_final.pt,2c33c4e6d7973812f066...,https://wandb.ai/nadavoteam/frozen-sam-readout/runs/3p1gdu8f,succeeded
v1_progressive,progressive_A2_to_A3M4_to_F0_aug80,1,0.82072,0.6968,0.82124,0.69756,70,0.00052,/storage/nada/test_screen_80/v1_progressive/s1/checkpoint_final.pt,d289851d4e36638bdb7e...,https://wandb.ai/nadavoteam/frozen-sam-readout/runs/m8syp2no,succeeded
v1_progressive,progressive_A2_to_A3M4_to_F0_aug80,2,0.82269,0.6996,0.82299,0.70002,70,0.00030,/storage/nada/test_screen_80/v1_progressive/s2/checkpoint_final.pt,98696bce87f3182a85e4...,https://wandb.ai/nadavoteam/frozen-sam-readout/runs/n2e1nwqy,succeeded
v2_legacy_staged40,legacy_A5staged40_A3M4_F0_aug80,0,0.81958,0.6952,0.81961,0.69525,70,0.00003,/storage/nada/test_screen_80/v2_legacy_staged40/s0/checkpoint_final.pt,b03fbe29800f749dea83...,https://wandb.ai/nadavoteam/frozen-sam-readout/runs/id2xfgo3,succeeded
v2_legacy_staged40,legacy_A5staged40_A3M4_F0_aug80,1,0.81778,0.6926,0.81818,0.69315,70,0.00040,/storage/nada/test_screen_80/v2_legacy_staged40/s1/checkpoint_final.pt,69b048e58ee7aeb1120e...,https://wandb.ai/nadavoteam/frozen-sam-readout/runs/svf5p650,succeeded
v2_legacy_staged40,legacy_A5staged40_A3M4_F0_aug80,2,0.81991,0.6956,0.82008,0.69583,70,0.00017,/storage/nada/test_screen_80/v2_legacy_staged40/s2/checkpoint_final.pt,e6e8cfd8122136687fc3...,https://wandb.ai/nadavoteam/frozen-sam-readout/runs/t9fkz6cb,succeeded
v3_all_refine_mem,all_refinement_layers_memory_aug80,0,0.82294,0.7000,0.82319,0.70039,70,0.00025,/storage/nada/test_screen_80/v3_all_refine_mem/s0/checkpoint_final.pt,b0c0c2027d6bf2064724...,https://wandb.ai/nadavoteam/frozen-sam-readout/runs/1da2jppa,succeeded
v3_all_refine_mem,all_refinement_layers_memory_aug80,1,0.82275,0.6997,0.82318,0.70031,70,0.00043,/storage/nada/test_screen_80/v3_all_refine_mem/s1/checkpoint_final.pt,717bd3fbf89c7c51be29...,https://wandb.ai/nadavoteam/frozen-sam-readout/runs/k85f2hqm,succeeded
v3_all_refine_mem,all_refinement_layers_memory_aug80,2,0.82290,0.6999,0.82323,0.70037,70,0.00033,/storage/nada/test_screen_80/v3_all_refine_mem/s2/checkpoint_final.pt,426d6d2297d1c0e798df...,https://wandb.ai/nadavoteam/frozen-sam-readout/runs/qi7q1j64,error_but_metrics_saved
v4_no_memory,A2_to_F0_no_memory_aug80,0,0.82238,0.6992,0.82243,0.69929,70,0.00005,/storage/nada/test_screen_80/v4_no_memory/s0/checkpoint_final.pt,8bbd0e55ec4d2816ab44...,https://wandb.ai/nadavoteam/frozen-sam-readout/runs/6wlm1roz,error_but_metrics_saved
v4_no_memory,A2_to_F0_no_memory_aug80,1,0.82005,0.6958,0.82063,0.69668,70,0.00058,/storage/nada/test_screen_80/v4_no_memory/s1/checkpoint_final.pt,fabbeda323ae46c52a70...,https://wandb.ai/nadavoteam/frozen-sam-readout/runs/xuj42ui2,succeeded
v4_no_memory,A2_to_F0_no_memory_aug80,2,0.82197,0.6986,0.82230,0.69906,70,0.00033,/storage/nada/test_screen_80/v4_no_memory/s2/checkpoint_final.pt,b94f1a5319eb50efd803...,https://wandb.ai/nadavoteam/frozen-sam-readout/runs/b5iqhol2,error_but_metrics_saved
v5_a3m4_no_f0,A3M4_no_F0_aug80,0,0.81103,0.6831,0.81165,0.68395,45,0.00062,/storage/nada/test_screen_80/v5_a3m4_no_f0/s0/checkpoint_final.pt,86e38c2553b11dcd5dfb...,https://wandb.ai/nadavoteam/frozen-sam-readout/runs/2uwt75ux,error_but_metrics_saved
v5_a3m4_no_f0,A3M4_no_F0_aug80,1,0.80955,0.6809,0.81193,0.68423,40,0.00238,/storage/nada/test_screen_80/v5_a3m4_no_f0/s1/checkpoint_final.pt,eaab83cf91e0b1d36fd9...,https://wandb.ai/nadavoteam/frozen-sam-readout/runs/ofwl4obw,succeeded
v5_a3m4_no_f0,A3M4_no_F0_aug80,2,0.81247,0.6850,0.81338,0.68621,20,0.00091,/storage/nada/test_screen_80/v5_a3m4_no_f0/s2/checkpoint_final.pt,684726f945a72e3acccf...,https://wandb.ai/nadavoteam/frozen-sam-readout/runs/zio7qmq5,succeeded
v6_onestage_gated,full_A3M4_F0_from_epoch0_gated_aug80,0,,,,,,,,,pending
v6_onestage_gated,full_A3M4_F0_from_epoch0_gated_aug80,1,,,,,,,,,pending
v6_onestage_gated,full_A3M4_F0_from_epoch0_gated_aug80,2,,,,,,,,,pending
